1880,2,Узункольский район МВД,ст.188 ч.1,12/7/18 10:30,null,null,279810.1317,6054402.653
1900,1,РУВД Бостандыкского района,ст.190 ч.1,4/20/18 15:20,null,null,1141858.343,4809964.49
1880,2,РУВД Медеуского района,ст.188 ч.1,12/10/18 21:00,null,null,1145487.308,4819013.565
1880,2,РУВД Медеуского района,ст.188 ч.1,12/10/18 13:20,null,null,1145513.766,4818526.73
1880,2,Кокпектинский район МВД,ст.188 ч.1,11/24/18 15:00,Подгорная,2,1498323.627,5497984.726
1870,1,г.Экибастуз ГОВД,ст.187 ч.1,12/10/18 16:17,С ТОРАЙГЫРОВА,32,936328.4074,5748363.875
1880,2,РУВД Медеуского района,ст.188 ч.1,8/1/17 0:00,null,null,1153424.823,4808545.304
1880,2,РУВД Медеуского района,ст.188 ч.1,12/10/18 18:30,null,null,1145586.527,4820780.03
1880,2,ОВД Енбекшинского района,ст.188 ч.2,12/8/18 0:00,null,null,552961.8367,4686211.687
1880,2,РУВД Медеуского района,ст.188 ч.1,11/18/18 8:00,ДОСТЫК,52/2,1146113.944,4819802.023
1900,1,УВД Наурызбайского района ДВД города Алматы,ст.190 ч.1,8/16/18 13:00,null,null,1134910.297,4809901.546
1880,2,РОП Медеуского района,ст.188 ч.1,11/20/18 10:00,Каримбаева,61,1148877.839,4822540.153
1880,2,Абайский ОП УВД г.Уральск,ст.188 ч.2,12/10/18 17:00,МАЖИТА ЖУНИСОВА,177,-726916.9269,5823526.373
1490,1,г.Петропавловск ГОП № 2,ст.149 ч.2,12/10/18 5:00,ИМ.М.В.ЛОМОНОСОВА,46,509657.4556,6078168.903
1880,2,"ГУ ""Северный отдел ОВД г.Костанай""",ст.188 ч.1,7/1/18 11:00,КАРБЫШЕВА,10Б,138503.3744,5907588.207
1880,2,УВД Наурызбайского района ДВД города Алматы,ст.188 ч.1,12/3/18 22:00,ПРОЕКТИРУЕМАЯ,19,1133919.504,4810782.936
1900,1,ОВД Аль-Фарабийского района,ст.190 ч.1,12/10/18 2:30,null,null,548450.6819,4673463.189
1880,2,ОВД Аль-Фарабийского района,ст.188 ч.1,12/8/18 16:30,null,null,549534.5049,4672390.643
1880,2,Илийский район МВД,ст.188 ч.2,12/10/18 11:00,1-ЛИНИЯ,37,1140558.849,4838018.201
1880,2,Илийский район МВД,ст.188 ч.2,12/10/18 19:00,null,1,1136817.633,4828612.244
1070,1,Есильского района РОВД,ст.107 ч.1,12/10/18 0:00,null,null,321809.3889,5759511.794
1870,1,РОВД Бокейординский район ЗКО,ст.187 ч.1,12/9/18 23:00,null,null,-996384.3386,5618064.241
3370,1,Карабалыкский район МВД,ст.337 ч.1,12/10/18 16:30,МЕКТЕП,null,15188.1927,5962278.346
1880,2,"РОП УВД района ""Есиль"" г.Астана",ст.188 ч.1,12/9/18 10:00,ҚАБАНБАЙ БАТЫР,62,668456.7468,5662503.945
